Sample Name	Extract Name	Protocol REF	Protocol REF	Comment[library name]	Parameter Value[Label]	Term Source REF	Term Accession Number	Protocol REF	Comment[technology type]	Hybridization Assay Name	Array Design REF	Protocol REF	Array Data File	Protocol REF	Parameter Value[Raw Intensities Table]	Parameter Value[Normalized Expression Table]	Parameter Value[differential expression analysis data]
GSM1347817 extract 1	GSM1347817 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347817 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347817	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347817_H1299_BN_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347816 extract 1	GSM1347816 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347816 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347816	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347816_H1299_BN_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347815 extract 1	GSM1347815 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347815 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347815	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347815_H1299_BN_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347814 extract 1	GSM1347814 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347814 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347814	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347814_H1299_BN_rep2.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347813 extract 1	GSM1347813 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347813 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347813	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347813_H1299_BN_rep1.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347812 extract 1	GSM1347812 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347812 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347812	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347812_H1299_DBN_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347811 extract 1	GSM1347811 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347811 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347811	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347811_H1299_DBN_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347810 extract 1	GSM1347810 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347810 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347810	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347810_H1299_DBN_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347809 extract 1	GSM1347809 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347809 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347809	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347809_H1299_DBN_rep2.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347808 extract 1	GSM1347808 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347808 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347808	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347808_H1299_DBN_rep1.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347807 extract 1	GSM1347807 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347807 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347807	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347807_H1299_CTL_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347806 extract 1	GSM1347806 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347806 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347806	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347806_H1299_CTL_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347805 extract 1	GSM1347805 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347805 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347805	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347805_H1299_CTL_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347804 extract 1	GSM1347804 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347804 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347804	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347804_H1299_CTL_rep2.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347803 extract 1	GSM1347803 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347803 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347803	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347803_H1299_CTL_rep1.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347802 extract 1	GSM1347802 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347802 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347802	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347802_H1299shRAD9_BP_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347801 extract 1	GSM1347801 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347801 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347801	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347801_H1299shRAD9_BP_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347800 extract 1	GSM1347800 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347800 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347800	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347800_H1299shRAD9_BP_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347799 extract 1	GSM1347799 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347799 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347799	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347799_H1299shRAD9_BP_rep2.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347798 extract 1	GSM1347798 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347798 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347798	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347798_H1299shRAD9_BP_rep1.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347797 extract 1	GSM1347797 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347797 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347797	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347797_H1299shRAD9_DBP_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347796 extract 1	GSM1347796 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347796 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347796	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347796_H1299shRAD9_DBP_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347795 extract 1	GSM1347795 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347795 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347795	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347795_H1299shRAD9_DBP_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347794 extract 1	GSM1347794 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347794 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347794	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347794_H1299shRAD9_DBP_rep2.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347793 extract 1	GSM1347793 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347793 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347793	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347793_H1299shRAD9_DBP_rep1.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347792 extract 1	GSM1347792 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347792 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347792	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347792_H1299shRAD9_BN_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347791 extract 1	GSM1347791 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347791 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347791	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347791_H1299shRAD9_BN_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347790 extract 1	GSM1347790 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347790 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347790	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347790_H1299shRAD9_BN_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347789 extract 1	GSM1347789 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347789 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347789	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347789_H1299shRAD9_BN_rep2.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347788 extract 1	GSM1347788 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347788 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347788	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347788_H1299shRAD9_BN_rep1.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347787 extract 1	GSM1347787 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347787 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347787	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347787_H1299shRAD9_DBN_rep5.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347786 extract 1	GSM1347786 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347786 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347786	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347786_H1299shRAD9_DBN_rep4.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
GSM1347785 extract 1	GSM1347785 extract 1	Nucleic Acid Extraction Protocol	Labelling Protocol	GSM1347785 LE 1	Cy3	OSD	https://osdr.nasa.gov/	Hybridization Protocol	array assay	GSM1347785	AGILENT WholeGenome 4x44k v2	Array Scanning Protocol	GLDS-183_microarray_GSM1347785_H1299shRAD9_DBN_rep3.txt	GeneLab microarray data processing protocol	GLDS-183_array_raw_intensities_GLmicroarray.csv	GLDS-183_array_normalized_expression_GLmicroarray.csv	GLDS-183_array_SampleTable_GLmicroarray.csv,GLDS-183_array_contrasts_GLmicroarray.csv,GLDS-183_array_differential_expression_GLmicroarray.csv
